benchmark, cost_1-hop, time_1hop(s)
mac,1.000000,0.07
simple,1.000000,0.12
horner_bs,1.000000,0.11
mults1,1.074074,0.18
arf,1.066667,0.19
conv3,1.000000,0.20
motion_vec,1.000000,0.20
fir2,1.000000,0.24
fir1,1.069767,0.28
fdback_pts,1.058824,0.36
k4n4op,1.216216,0.39
h2v2_smo,1.015385,0.45
cosine1,1.078947,0.49
ewf,1.025316,0.99
Cplx8,1.032967,1.41
Fir16,1.021978,0.69
cosine2,1.230769,0.63
FilterRGB,1.051546,0.70
collapse_pyr,1.098361,0.92
interpolate,1.211538,1.53
w_bmp_head,1.108696,1.06
matmul,1.104839,0.90
invert_matrix,1.690476,5.25
